Index;PartNumber;Material;ID_nom;OD_nom;Len;Weight;ID_pic;OD_pic
302;1001700214155;H-Pur | FDA;170.0;214.0;155;3.439;;
303;1001700222155;H-Pur | FDA;170.0;222.0;155;4.098;;
304;1001700230155;H-Pur | FDA;170.0;230.0;155;4.782;;
305;1001700238155;H-Pur | FDA;170.0;238.0;155;5.49;;
306;1001780198155;H-Pur | FDA;178.0;198.0;155;1.689;;
307;1001780206155;H-Pur | FDA;178.0;206.0;155;2.3;;
308;1001780214155;H-Pur | FDA;178.0;214.0;155;2.936;;
309;1001780222155;H-Pur | FDA;178.0;222.0;155;3.595;;
310;1001780230155;H-Pur | FDA;178.0;230.0;155;4.279;;
311;1001780238155;H-Pur | FDA;178.0;238.0;155;4.987;;
312;1001780246155;H-Pur | FDA;178.0;246.0;155;5.719;;
313;1001860206155;H-Pur | FDA;186.0;206.0;155;1.774;;
314;1001860214155;H-Pur | FDA;186.0;214.0;155;2.41;;
315;1001860222155;H-Pur | FDA;186.0;222.0;155;3.069;;
316;1001860230155;H-Pur | FDA;186.0;230.0;155;3.753;;
317;1001860238155;H-Pur | FDA;186.0;238.0;155;4.461;;
318;1001860246155;H-Pur | FDA;186.0;246.0;155;5.193;;
319;1001860254155;H-Pur | FDA;186.0;254.0;155;5.949;;
320;1001940214155;H-Pur | FDA;194.0;214.0;155;1.86;;
321;1001940222155;H-Pur | FDA;194.0;222.0;155;2.52;;
322;1001940230155;H-Pur | FDA;194.0;230.0;155;3.204;;
323;1001940238155;H-Pur | FDA;194.0;238.0;155;3.912;;
324;1001940246155;H-Pur | FDA;194.0;246.0;155;4.644;;
325;1001940254155;H-Pur | FDA;194.0;254.0;155;5.4;;
326;1001940265155;H-Pur | FDA;194.0;265.0;155;6.48;;
327;1002020222155;H-Pur | FDA;202.0;222.0;155;1.947;;
328;1002020230155;H-Pur | FDA;202.0;230.0;155;2.631;;
329;1002020238155;H-Pur | FDA;202.0;238.0;155;3.339;;
330;1002020246155;H-Pur | FDA;202.0;246.0;155;4.071;;
331;1002020254155;H-Pur | FDA;202.0;254.0;155;4.828;;
332;1002020265155;H-Pur | FDA;202.0;265.0;155;5.907;;
333;1002020275155;H-Pur | FDA;202.0;275.0;155;6.928;;
334;1002040248155;H-Pur | FDA;204.0;248.0;155;4.111;;
335;1002040266155;H-Pur | FDA;204.0;266.0;155;5.861;;
336;1002040284155;H-Pur | FDA;204.0;284.0;155;7.733;;
337;1002040300155;H-Pur | FDA;204.0;300.0;155;9.5;;
338;1002100230155;H-Pur | FDA;210.0;230.0;155;2.036;;
339;1002100238155;H-Pur | FDA;210.0;238.0;155;2.744;;
340;1002100246155;H-Pur | FDA;210.0;246.0;155;3.476;;
341;1002100254155;H-Pur | FDA;210.0;254.0;155;4.232;;
342;1002100265155;H-Pur | FDA;210.0;265.0;155;5.312;;
343;1002100275155;H-Pur | FDA;210.0;275.0;155;6.333;;
344;1002180238155;H-Pur | FDA;218.0;238.0;155;2.125;;
345;1002180246155;H-Pur | FDA;218.0;246.0;155;2.857;;
346;1002180254155;H-Pur | FDA;218.0;254.0;155;3.614;;
347;1002180265155;H-Pur | FDA;218.0;265.0;155;4.693;;
348;1002180275155;H-Pur | FDA;218.0;275.0;155;5.714;;
349;1002180284155;H-Pur | FDA;218.0;284.0;155;6.666;;
350;1002200238155;H-Pur | FDA;220.0;238.0;155;1.967;;
351;1002200246155;H-Pur | FDA;220.0;246.0;155;2.699;;
352;1002200254155;H-Pur | FDA;220.0;254.0;155;3.455;;
353;1002200265155;H-Pur | FDA;220.0;265.0;155;4.535;;
354;1002200275155;H-Pur | FDA;220.0;275.0;155;5.556;;
355;1002250246155;H-Pur | FDA;225.0;246.0;155;2.297;;
356;1002250254155;H-Pur | FDA;225.0;254.0;155;3.053;;
357;1002250265155;H-Pur | FDA;225.0;265.0;155;4.133;;
358;1002250275155;H-Pur | FDA;225.0;275.0;155;5.154;;
359;1002250284155;H-Pur | FDA;225.0;284.0;155;6.105;;
360;1002250295155;H-Pur | FDA;225.0;295.0;155;7.31;;
361;1002300254155;H-Pur | FDA;230.0;254.0;155;2.642;;
362;1002300265155;H-Pur | FDA;230.0;265.0;155;3.722;;
363;1002300275155;H-Pur | FDA;230.0;275.0;155;4.743;;
364;1002300284155;H-Pur | FDA;230.0;284.0;155;5.694;;
365;1002300290155;H-Pur | FDA;230.0;290.0;155;6.345;;
366;1002300306155;H-Pur | FDA;230.0;306.0;155;8.149;;
367;1002400265155;H-Pur | FDA;240.0;265.0;155;2.873;;
368;1002400275155;H-Pur | FDA;240.0;275.0;155;3.894;;
369;1002400284155;H-Pur | FDA;240.0;284.0;155;4.845;;
370;1002400290155;H-Pur | FDA;240.0;290.0;155;5.496;;
371;1002400300155;H-Pur | FDA;240.0;300.0;155;6.612;;
372;1002400306155;H-Pur | FDA;240.0;306.0;155;7.299;;
373;1002400310155;H-Pur | FDA;240.0;310.0;155;7.765;;
374;1002400318155;H-Pur | FDA;240.0;318.0;155;8.715;;
375;1002400326155;H-Pur | FDA;240.0;326.0;155;9.69;;
376;1002400336155;H-Pur | FDA;240.0;336.0;155;10.941;;
377;1002500275155;H-Pur | FDA;250.0;275.0;155;3.008;;
378;1002500284155;H-Pur | FDA;250.0;284.0;155;3.96;;
379;1002500290155;H-Pur | FDA;250.0;290.0;155;4.611;;
380;1002500300155;H-Pur | FDA;250.0;300.0;155;5.727;;
381;1002500306155;H-Pur | FDA;250.0;306.0;155;6.414;;
382;1002500310155;H-Pur | FDA;250.0;310.0;155;6.88;;
383;1002500318155;H-Pur | FDA;250.0;318.0;155;7.83;;
384;1002500326155;H-Pur | FDA;250.0;326.0;155;8.804;;
385;1002540306155;H-Pur | FDA;254.0;306.0;155;6.05;;
386;1002580284155;H-Pur | FDA;258.0;284.0;155;3.225;;
387;1002580290155;H-Pur | FDA;258.0;290.0;155;3.877;;
388;1002580300155;H-Pur | FDA;258.0;300.0;155;4.992;;
389;1002580306155;H-Pur | FDA;258.0;306.0;155;5.68;;
390;1002580310155;H-Pur | FDA;258.0;310.0;155;6.146;;
391;1002580318155;H-Pur | FDA;258.0;318.0;155;7.096;;
392;1002580326155;H-Pur | FDA;258.0;326.0;155;8.07;;
393;1002580336155;H-Pur | FDA;258.0;336.0;155;9.322;;
394;1002580346155;H-Pur | FDA;258.0;346.0;155;10.611;;
395;1002580354155;H-Pur | FDA;258.0;354.0;155;11.67;;
